lattice_id,u,s,smoothness_value,smoothness_index,cost
542,623812758999397,88604118135,683,123,238
553,351755828875412500,-273496655851257,739,130,609
555,62708742759845,15329027582,661,120,115
557,12642997598109263,1023571847475,577,105,489
558,18069066556143648045,-8064517075455446,449,86,374
558,51070190374203,-47063088619,647,117,347
564,3104158670876055650,5559379499654327,823,142,752
568,28786884601049385,-1202070095801,797,138,268
572,126212274310595,18127406112,373,73,139
576,3037425119051401,-2592442617534,443,85,519
577,1294484925253597,438601622883,271,57,277
579,397612329710875,-5508266786,251,53,194
581,2172111955957368,-1176111644465,811,140,383
582,19338195528981307,-33126322958,431,82,178
585,116599579755516,-70897283219,487,92,276
589,897710751394765,20495500734,653,118,167
591,59651241412015,7318426444,193,43,170
591,39776911686585,14296362871,347,68,191
591,79537273660449,12043013021,773,136,264
595,42104959792733,9386773795,479,91,238
596,7419318938539820,4464511027,677,122,180
597,49725524575125,45251796199,617,112,226
600,834277516122196641,-34165092430387,461,88,631
601,27782325051130811205,8500717601306974,769,135,291
604,14448140332953481,-1260978813099,947,160,499
605,29946927697733372963661,-19816288807815614464,727,128,624
606,17285085284317640,-8902346781141,503,95,391
606,7048626145515640609,-553595421362516,859,148,472
607,14898778836249789,7300600338787,331,66,186
608,274805548041258479,-296703443120346,983,165,411
608,27935013366853840,1553985363067,787,137,311
610,16163667701298117,-1071907787980,349,69,165
614,5221222378217016704,-2137982762139209,757,133,1087
615,603145181138181,-71642179072,953,161,153
620,71172051902971904,43076032896587,797,138,540
622,18527626396836557,21334022083186,641,115,279
622,43058435187243773,76078703945621,727,128,582
623,17376379684430445,446226309698,911,155,252
626,37184609013202768,-30645381331035,241,52,515
626,100980047773155200,-32785583436551,467,90,530
629,21104598144899269,3893636289344,947,160,163
634,36407800920866375,6044963804648,829,144,578
636,11626842001019351,66908595948,389,76,120
651,39795190759813475,31236234594759,863,149,335
651,1529144580469275,-238285885291,199,45,279
651,2352346096088169797,919939068024572,877,150,420
652,10738275771533596,2221346134625,631,114,249
652,1261990596119253,-1074630398273,773,136,261
655,59860105710120625,-30295869309551,499,94,632
658,169482166179771749,-34893307727954,1009,168,203
658,266485174307784315,101223684570496,907,154,439
662,17860748075924743,-23508052720371,599,108,395
664,307882861926599421,1096592507921,283,60,537
665,34860047707785487983523,-31581951485743288265,239,51,554
